DEB [20191218-10:36:33.462] thr=1   paramiko.transport: starting thread (client mode): 0x861b6400
DEB [20191218-10:36:33.463] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.7.1
DEB [20191218-10:36:33.490] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_7.2
INF [20191218-10:36:33.490] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_7.2)
DEB [20191218-10:36:33.514] thr=1   paramiko.transport: kex algos:['curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group14-sha1'] server key:['ssh-rsa', 'rsa-sha2-512', 'rsa-sha2-256', 'ssh-dss', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] server encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] client mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] server mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20191218-10:36:33.514] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20191218-10:36:33.515] thr=1   paramiko.transport: HostKey agreed: ecdsa-sha2-nistp256
DEB [20191218-10:36:33.515] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20191218-10:36:33.515] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20191218-10:36:33.515] thr=1   paramiko.transport: Compression agreed: none
DEB [20191218-10:36:33.589] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20191218-10:36:33.590] thr=1   paramiko.transport: Switch to new keys ...
DEB [20191218-10:36:33.591] thr=2   paramiko.transport: Host key verified (ecdsa-sha2-nistp256)
DEB [20191218-10:36:33.591] thr=2   paramiko.transport: Attempting password auth...
DEB [20191218-10:36:33.677] thr=1   paramiko.transport: userauth is OK
INF [20191218-10:36:33.713] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20191218-10:36:33.714] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20191218-10:36:33.739] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20191218-10:36:33.739] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20191218-10:36:33.804] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20191218-10:36:33.804] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20191218-10:36:33.830] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
INF [20191218-10:36:33.854] thr=2   paramiko.transport.sftp: [chan 0] Opened sftp connection (server version 3)
DEB [20191218-10:36:33.854] thr=2   paramiko.transport.sftp: [chan 0] normalize(b'.')
DEB [20191218-10:36:33.879] thr=2   paramiko.transport.sftp: [chan 0] stat(b'incoming')
DEB [20191218-10:36:33.903] thr=2   paramiko.transport.sftp: [chan 0] normalize(b'incoming')
DEB [20191218-10:36:33.928] thr=2   paramiko.transport.sftp: [chan 0] listdir(b'/incoming/.')
DEB [20191218-10:36:34.028] thr=2   paramiko.transport.sftp: [chan 0] stat(b'/')
DEB [20191218-10:36:34.054] thr=2   paramiko.transport.sftp: [chan 0] normalize(b'/')
INF [20191218-10:36:34.080] thr=2   paramiko.transport.sftp: [chan 0] sftp session closed.
DEB [20191218-10:36:34.080] thr=2   paramiko.transport: [chan 0] EOF sent (0)
DEB [20191218-10:37:19.060] thr=1   paramiko.transport: starting thread (client mode): 0xe3b1400
DEB [20191218-10:37:19.060] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.7.1
DEB [20191218-10:37:19.087] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_7.2
INF [20191218-10:37:19.088] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_7.2)
